Date,Close,Eps,FedFundsRate
2011-01-03,1271.87,114.78,0.1
2011-01-04,1270.2,114.78,0.1
2011-01-05,1276.56,114.78,0.1
2011-01-06,1273.85,114.78,0.1
2011-01-07,1271.5,114.78,0.1
2011-01-10,1269.75,114.78,0.1
2011-01-11,1274.48,114.78,0.1
2011-01-12,1285.96,114.78,0.1
2011-01-13,1283.76,114.78,0.1
2011-01-14,1293.24,114.78,0.1
2011-01-18,1295.02,114.78,0.1
2011-01-19,1281.92,114.78,0.1
2011-01-20,1280.26,114.78,0.1
2011-01-21,1283.35,114.78,0.1
2011-01-24,1290.84,114.78,0.1
2011-01-25,1291.18,114.78,0.1
2011-01-26,1296.63,114.78,0.1
2011-01-27,1299.54,114.78,0.1
2011-01-28,1276.34,114.78,0.1
2011-01-31,1286.12,114.78,0.1
2011-02-01,1307.59,115.42,0.09
2011-02-02,1304.03,115.42,0.09
2011-02-03,1307.1,115.42,0.09
2011-02-04,1310.87,115.42,0.09
2011-02-07,1319.05,115.42,0.09
2011-02-08,1324.57,115.42,0.09
2011-02-09,1320.88,115.42,0.09
2011-02-10,1321.87,115.42,0.09
2011-02-11,1329.15,115.42,0.09
2011-02-14,1332.32,115.42,0.09
2011-02-15,1328.01,115.42,0.09
2011-02-16,1336.32,115.42,0.09
2011-02-17,1340.43,115.42,0.09
2011-02-18,1343.01,115.42,0.09
2011-02-22,1315.44,115.42,0.09
2011-02-23,1307.4,115.42,0.09
2011-02-24,1306.1,115.42,0.09
2011-02-25,1319.88,115.42,0.09
2011-02-28,1327.22,115.42,0.09
2011-03-01,1306.33,116.74,0.09
2011-03-02,1308.44,116.74,0.09
2011-03-03,1330.97,116.74,0.09
2011-03-04,1321.15,116.74,0.09
2011-03-07,1310.13,116.74,0.09
2011-03-08,1321.82,116.74,0.09
2011-03-09,1320.02,116.74,0.09
2011-03-10,1295.11,116.74,0.09
2011-03-11,1304.28,116.74,0.09
2011-03-14,1296.39,116.74,0.09
2011-03-15,1281.87,116.74,0.09
2011-03-16,1256.88,116.74,0.09
2011-03-17,1273.72,116.74,0.09
2011-03-18,1279.21,116.74,0.09
2011-03-21,1298.38,116.74,0.09
2011-03-22,1293.77,116.74,0.09
2011-03-23,1297.54,116.74,0.09
2011-03-24,1309.66,116.74,0.09
2011-03-25,1313.8,116.74,0.09
2011-03-28,1310.19,116.74,0.09
2011-03-29,1319.44,116.74,0.09
2011-03-30,1328.26,116.74,0.09
2011-03-31,1325.83,116.74,0.09
2011-04-01,1332.41,118.07,0.07
2011-04-04,1332.87,118.07,0.07
2011-04-05,1332.63,118.07,0.07
2011-04-06,1335.54,118.07,0.07
2011-04-07,1333.51,118.07,0.07
2011-04-08,1328.17,118.07,0.07
2011-04-11,1324.46,118.07,0.07
2011-04-12,1314.16,118.07,0.07
2011-04-13,1314.41,118.07,0.07
2011-04-14,1314.52,118.07,0.07
2011-04-15,1319.68,118.07,0.07
2011-04-18,1305.14,118.07,0.07
2011-04-19,1312.62,118.07,0.07
2011-04-20,1330.36,118.07,0.07
2011-04-21,1337.38,118.07,0.07
2011-04-25,1335.25,118.07,0.07
2011-04-26,1347.24,118.07,0.07
2011-04-27,1355.66,118.07,0.07
2011-04-28,1360.48,118.07,0.07
2011-04-29,1363.61,118.07,0.07
2011-05-02,1361.22,119.19,0.1
2011-05-03,1356.62,119.19,0.1
2011-05-04,1347.32,119.19,0.1
2011-05-05,1335.1,119.19,0.1
2011-05-06,1340.2,119.19,0.1
2011-05-09,1346.29,119.19,0.1
2011-05-10,1357.16,119.19,0.1
2011-05-11,1342.08,119.19,0.1
2011-05-12,1348.65,119.19,0.1
2011-05-13,1337.77,119.19,0.1
2011-05-16,1329.47,119.19,0.1
2011-05-17,1328.98,119.19,0.1
2011-05-18,1340.68,119.19,0.1
2011-05-19,1343.6,119.19,0.1
2011-05-20,1333.27,119.19,0.1
2011-05-23,1317.37,119.19,0.1
2011-05-24,1316.28,119.19,0.1
2011-05-25,1320.47,119.19,0.1
2011-05-26,1325.69,119.19,0.1
2011-05-27,1331.1,119.19,0.1
2011-05-31,1345.2,119.19,0.1
2011-06-01,1314.55,120.44,0.08
2011-06-02,1312.94,120.44,0.08
2011-06-03,1300.16,120.44,0.08
2011-06-06,1286.17,120.44,0.08
2011-06-07,1284.94,120.44,0.08
2011-06-08,1279.56,120.44,0.08
2011-06-09,1289.0,120.44,0.08
2011-06-10,1270.98,120.44,0.08
2011-06-13,1271.83,120.44,0.08
2011-06-14,1287.87,120.44,0.08
2011-06-15,1265.42,120.44,0.08
2011-06-16,1267.64,120.44,0.08
2011-06-17,1271.5,120.44,0.08
2011-06-20,1278.36,120.44,0.08
2011-06-21,1295.52,120.44,0.08
2011-06-22,1287.14,120.44,0.08
2011-06-23,1283.5,120.44,0.08
2011-06-24,1268.45,120.44,0.08
2011-06-27,1280.1,120.44,0.08
2011-06-28,1296.67,120.44,0.08
2011-06-29,1307.41,120.44,0.08
2011-06-30,1320.64,120.44,0.08
2011-07-01,1339.67,120.68,0.07
2011-07-05,1337.88,120.68,0.07
2011-07-06,1339.22,120.68,0.07
2011-07-07,1353.22,120.68,0.07
2011-07-08,1343.8,120.68,0.07
2011-07-11,1319.49,120.68,0.07
2011-07-12,1313.64,120.68,0.07
2011-07-13,1317.72,120.68,0.07
2011-07-14,1308.87,120.68,0.07
2011-07-15,1316.14,120.68,0.07
2011-07-18,1305.44,120.68,0.07
2011-07-19,1326.73,120.68,0.07
2011-07-20,1325.84,120.68,0.07
2011-07-21,1343.8,120.68,0.07
2011-07-22,1345.02,120.68,0.07
2011-07-25,1337.43,120.68,0.07
2011-07-26,1331.94,120.68,0.07
2011-07-27,1304.89,120.68,0.07
2011-07-28,1300.67,120.68,0.07
2011-07-29,1292.28,120.68,0.07
2011-08-01,1286.94,120.76,0.08
2011-08-02,1254.05,120.76,0.08
2011-08-03,1260.34,120.76,0.08
